position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
17.98184,79.60591,20,5,8,2
17.99387,79.60472,20,2,1,0
17.96562,79.59949,20,4,11,2
18.0026,79.55783,20,10,4,1
18.00247,79.55765,20,10,4,1
18.01349,79.56051,20,10,1,1
18.01314,79.5586,20,9,1,1
17.99978,79.53975,20,8,4,1
18.00006,79.53916,20,8,3,1
17.99804,79.53439,20,5,2,0
16.51064,80.62098,20,5,20,1
16.51037,80.62124,20,5,20,1
16.51403,80.61289,20,10,20,2
16.52083,80.62261,20,8,20,1
16.50306,80.63074,20,6,20,1
16.51851,80.63425,20,12,20,2
16.52107,80.6337,20,10,20,2
16.50716,80.63839,20,15,14,0
16.52111,80.63376,20,10,20,2
16.52447,80.62998,20,7,20,1
16.5259,80.62822,20,4,20,1
16.50251,80.63858,20,12,20,2
16.50391,80.6391,20,14,20,2
16.51965,80.60036,20,2,5,1
16.50776,80.64004,20,17,12,0
16.50647,80.64002,20,16,15,0
16.50743,80.64028,20,18,12,0
16.52076,80.60056,20,3,6,1
16.5004,80.63858,20,4,20,1
16.5225,80.63524,20,11,20,2
16.51968,80.59946,20,3,5,1
16.50227,80.63966,20,15,16,2
16.50161,80.63946,20,15,19,2
16.50085,80.63929,20,10,18,2
16.50885,80.641,20,18,11,0
16.50882,80.64101,20,18,11,0
16.51364,80.64095,20,16,20,2
16.52083,80.6378,20,14,20,2
16.51271,80.64136,20,17,17,2
16.50299,80.64137,20,17,16,2
16.50235,80.64124,20,15,17,2
16.52463,80.63553,20,6,20,1
16.50399,80.64219,20,19,15,0
16.49946,80.64091,20,8,17,1
16.52642,80.63502,20,5,20,1
16.5011,80.64224,20,12,16,2
16.50984,80.64362,20,19,8,0
16.49916,80.6416,20,8,17,1
16.50189,80.64264,20,15,16,2
16.53114,80.62795,20,3,15,1
16.53206,80.62528,20,2,14,1
16.49886,80.64154,20,7,17,1
16.5033,80.64339,20,16,16,2
16.50379,80.64359,20,16,14,0
16.50413,80.64374,20,17,13,0
16.5046,80.64387,20,18,13,0
16.53092,80.62985,20,2,20,1
16.52621,80.63675,20,6,20,1
16.49894,80.64222,20,8,16,1
16.50017,80.64274,20,12,16,2
16.52954,80.63386,20,3,20,1
16.52944,80.63432,20,4,20,1
16.52939,80.6346,20,4,20,1
16.50815,80.64584,20,17,9,0
16.50941,80.64642,20,14,9,0
16.50505,80.64622,20,17,9,0
16.503,80.64661,20,15,10,0
16.50319,80.64667,20,15,10,0
16.50331,80.64671,20,15,10,0
16.50355,80.64678,20,15,9,0
16.50319,80.64671,20,15,10,0
16.50325,80.64673,20,15,10,0
16.50374,80.64684,20,15,10,0
16.50385,80.64687,20,15,10,0
16.49954,80.64598,20,14,18,2
16.49976,80.6461,20,14,18,2
16.49665,80.6453,20,9,17,1
16.49667,80.64559,20,9,18,1
16.50393,80.64802,20,15,9,0
16.50015,80.64743,20,18,20,2
16.50271,80.64851,20,18,15,0
16.50141,80.64859,20,19,19,2
16.50119,80.64858,20,19,20,2
16.5006,80.64847,20,19,20,2
16.53234,80.59883,20,7,17,1
16.53044,80.64054,20,3,20,1
16.49875,80.64835,20,16,20,2
16.52427,80.64591,20,8,20,1
16.53826,80.62662,20,0,11,1
16.52222,80.6476,20,6,20,1
16.49506,80.64879,20,11,20,2
16.49692,80.65052,20,12,20,2
16.49569,80.65033,20,12,20,2
16.54044,80.60623,20,3,3,1
16.49732,80.65174,20,12,20,2
16.49797,80.65203,20,12,20,2
16.49429,80.6511,20,11,20,1
16.49407,80.65135,20,11,20,2
16.49462,80.65185,20,12,20,2
16.50103,80.65429,20,18,20,2
16.4999,80.65475,20,16,20,2
16.50462,80.65578,20,20,20,2
16.50352,80.656,20,20,20,2
16.49682,80.65478,20,11,20,2
16.49272,80.65322,20,7,20,1
16.49366,80.65399,20,9,20,1
16.49989,80.6568,20,15,20,2
16.49721,80.65604,20,13,20,2
16.50336,80.65808,20,15,20,2
16.49851,80.65703,20,15,20,2
34.1843,-118.4768,4,3,2,1
34.1452,-118.2161,2,1,1,2
34.1014,-118.3436,1,2,3,1
34.2256,-118.4004,3,1,4,1
34.0822,-118.3865,1,2,2,2
34.1381,-118.2693,2,3,1,2
34.2027,-118.5142,5,2,2,1
34.2315,-118.4183,3,1,3,1
34.178,-118.3265,2,2,1,2
34.0592,-118.3916,1,1,4,1
34.0814,-118.3582,2,1,1,2
34.1264,-118.3161,3,2,2,2
34.0698,-118.2764,2,3,3,1
34.2015,-118.5267,4,2,2,1
34.2313,-118.4827,3,1,4,1
34.1347,-118.2389,2,2,1,2
34.1982,-118.4659,4,3,1,1
34.0603,-118.3489,1,1,2,2
34.1795,-118.3021,3,2,3,2
34.1477,-118.2539,2,1,4,2
34.1732,-118.3566,3,3,1,2
34.0883,-118.4092,2,1,3,2
34.2196,-118.4542,5,2,2,1
51.506,-0.118,23,2,12,0
51.509,-0.126,30,1,8,0
51.512,-0.114,18,3,15,1
51.514,-0.102,12,2,11,1
51.517,-0.13,28,1,9,1
51.52,-0.112,16,4,10,1
51.523,-0.12,21,2,13,1
51.526,-0.108,14,3,12,0
51.529,-0.136,27,1,7,0
51.532,-0.118,20,4,11,2
51.535,-0.126,25,2,9,0
51.538,-0.114,35,3,13,0
51.541,-0.102,11,1,10,1
51.544,-0.13,29,2,3,0
51.547,-0.112,17,4,14,1
51.55,-0.12,22,3,12,0
51.553,-0.108,13,2,11,1
51.556,-0.136,3,1,7,0
51.559,-0.118,21,4,10,1
51.562,-0.126,23,2,45,0
51.565,-0.114,17,3,13,0
51.568,-0.102,10,1,10,2
51.571,-0.13,30,45,8,0
51.574,-0.112,19,4,14,2
40.7274,-74.0051,8,2,4,2
40.7189,-74.0105,5,1,3,1
40.7414,-73.9921,6,2,2,1
40.7336,-74.0046,7,3,1,2
40.7199,-73.9952,2,1,2,1
40.7539,-73.9882,4,2,1,1
40.7208,-73.9883,3,1,3,2
40.7443,-73.9874,5,2,2,1
40.7277,-73.9875,4,1,4,2
40.7347,-74.0015,6,3,1,2
40.7383,-74.0034,8,2,3,2
40.7316,-73.9939,3,1,2,1
40.7456,-73.9923,7,2,1,1
40.7322,-74.0061,4,1,4,2
40.7488,-73.9935,5,2,2,1
40.7241,-73.9972,6,3,1,2
40.7195,-74.0037,2,1,3,1
40.7377,-73.9937,4,2,1,1
40.7417,-73.9902,8,2,4,1
40.7496,-73.9853,3,1,2,1
40.7356,-73.9873,5,3,2,2
40.7238,-73.9922,7,2,1,1
40.7328,-74.0055,4,1,4,2
36.828376,-119.711386,7,3,2,1
35.227085,-80.843124,6,2,4,2
42.360081,-71.058884,8,1,1,2
33.942466,-118.408036,4,2,3,1
40.73061,-73.935242,5,2,1,2
51.507351,-0.127758,3,1,4,1
40.416775,-3.70379,2,3,2,1
52.520008,13.404954,1,4,3,2
48.856613,2.352222,2,2,2,2
34.052234,-118.243685,3,1,4,2
37.774929,-122.419416,4,2,2,1
41.878114,-87.629798,5,1,1,2
39.9042,116.407396,2,3,3,1
22.396428,114.109497,1,2,4,2
